fichier_source,basename,code_brut,code_utilise,sample_nb,espece_trouvee,classe_assignee,statut,destination
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_10_13_Validation_LOTS-9-10-COLI_ENTHOR_100SPD-100vW_zSWATH/2022_04_14_Validation_LOT2_ENFAC_STAAU/ENFAC-129-AER-1.npy,ENFAC-129-AER-1,ENFAC,ENFAC,129,,,NON_RESOLU_CODE_INCONNU (suggestion: ESCCOL129),
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_10_13_Validation_LOTS-9-10-COLI_ENTHOR_100SPD-100vW_zSWATH/2022_04_14_Validation_LOT2_ENFAC_STAAU/ENFAC-129-AER-2.npy,ENFAC-129-AER-2,ENFAC,ENFAC,129,,,NON_RESOLU_CODE_INCONNU (suggestion: ESCCOL129),
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_10_13_Validation_LOTS-9-10-COLI_ENTHOR_100SPD-100vW_zSWATH/2022_04_14_Validation_LOT2_ENFAC_STAAU/ENFAC-129-ANA-1.npy,ENFAC-129-ANA-1,ENFAC,ENFAC,129,,,NON_RESOLU_CODE_INCONNU (suggestion: ESCCOL129),
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_10_13_Validation_LOTS-9-10-COLI_ENTHOR_100SPD-100vW_zSWATH/2022_04_14_Validation_LOT2_ENFAC_STAAU/ENFAC-129-ANA-2.npy,ENFAC-129-ANA-2,ENFAC,ENFAC,129,,,NON_RESOLU_CODE_INCONNU (suggestion: ESCCOL129),
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_10_13_Validation_LOTS-9-10-COLI_ENTHOR_100SPD-100vW_zSWATH/2022_04_14_Validation_LOT2_ENFAC_STAAU/ENFAC-130-AER-1.npy,ENFAC-130-AER-1,ENFAC,ENFAC,130,,,NON_RESOLU_CODE_INCONNU (suggestion: ESCCOL130),
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_10_13_Validation_LOTS-9-10-COLI_ENTHOR_100SPD-100vW_zSWATH/2022_04_14_Validation_LOT2_ENFAC_STAAU/ENFAC-130-AER-2.npy,ENFAC-130-AER-2,ENFAC,ENFAC,130,,,NON_RESOLU_CODE_INCONNU (suggestion: ESCCOL130),
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_10_13_Validation_LOTS-9-10-COLI_ENTHOR_100SPD-100vW_zSWATH/2022_04_14_Validation_LOT2_ENFAC_STAAU/ENFAC-130-ANA-1.npy,ENFAC-130-ANA-1,ENFAC,ENFAC,130,,,NON_RESOLU_CODE_INCONNU (suggestion: ESCCOL130),
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_10_13_Validation_LOTS-9-10-COLI_ENTHOR_100SPD-100vW_zSWATH/2022_04_14_Validation_LOT2_ENFAC_STAAU/ENFAC-130-ANA-2.npy,ENFAC-130-ANA-2,ENFAC,ENFAC,130,,,NON_RESOLU_CODE_INCONNU (suggestion: ESCCOL130),
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_10_13_Validation_LOTS-9-10-COLI_ENTHOR_100SPD-100vW_zSWATH/2022_04_14_Validation_LOT2_ENFAC_STAAU/ENFAC-131-AER-1.npy,ENFAC-131-AER-1,ENFAC,ENFAC,131,,,NON_RESOLU_CODE_INCONNU (suggestion: ESCCOL131),
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_10_13_Validation_LOTS-9-10-COLI_ENTHOR_100SPD-100vW_zSWATH/2022_04_14_Validation_LOT2_ENFAC_STAAU/ENFAC-131-AER-2.npy,ENFAC-131-AER-2,ENFAC,ENFAC,131,,,NON_RESOLU_CODE_INCONNU (suggestion: ESCCOL131),
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_10_13_Validation_LOTS-9-10-COLI_ENTHOR_100SPD-100vW_zSWATH/2022_04_14_Validation_LOT2_ENFAC_STAAU/ENFAC-131-ANA-1.npy,ENFAC-131-ANA-1,ENFAC,ENFAC,131,,,NON_RESOLU_CODE_INCONNU (suggestion: ESCCOL131),
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_10_13_Validation_LOTS-9-10-COLI_ENTHOR_100SPD-100vW_zSWATH/2022_04_14_Validation_LOT2_ENFAC_STAAU/ENFAC-131-ANA-2.npy,ENFAC-131-ANA-2,ENFAC,ENFAC,131,,,NON_RESOLU_CODE_INCONNU (suggestion: ESCCOL131),
