fichier_source,basename,code_brut,code_utilise,sample_nb,espece_trouvee,classe_assignee,statut,destination
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_04_15_Validation_LOT3_COLI_CITFRE_ENTHOR_KLEOXY_SER/LOT3/CITFRE-77-AER-1.npy,CITFRE-77-AER-1,CITFRE,CITFRE,77,Citrobacter freundii,Citrobacter freundii,CLASSE,/home/rrekikdi/Bureau/postdoc/pseudo_image/ms1_processed_11classes/Citrobacter freundii/CITFRE-77-AER-1.npy
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_04_15_Validation_LOT3_COLI_CITFRE_ENTHOR_KLEOXY_SER/LOT3/CITFRE-77-AER-2.npy,CITFRE-77-AER-2,CITFRE,CITFRE,77,Citrobacter freundii,Citrobacter freundii,CLASSE,/home/rrekikdi/Bureau/postdoc/pseudo_image/ms1_processed_11classes/Citrobacter freundii/CITFRE-77-AER-2.npy
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_04_15_Validation_LOT3_COLI_CITFRE_ENTHOR_KLEOXY_SER/LOT3/CITFRE-77-ANA-1.npy,CITFRE-77-ANA-1,CITFRE,CITFRE,77,Citrobacter freundii,Citrobacter freundii,CLASSE,/home/rrekikdi/Bureau/postdoc/pseudo_image/ms1_processed_11classes/Citrobacter freundii/CITFRE-77-ANA-1.npy
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_04_15_Validation_LOT3_COLI_CITFRE_ENTHOR_KLEOXY_SER/LOT3/CITFRE-77-ANA-2.npy,CITFRE-77-ANA-2,CITFRE,CITFRE,77,Citrobacter freundii,Citrobacter freundii,CLASSE,/home/rrekikdi/Bureau/postdoc/pseudo_image/ms1_processed_11classes/Citrobacter freundii/CITFRE-77-ANA-2.npy
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_04_15_Validation_LOT3_COLI_CITFRE_ENTHOR_KLEOXY_SER/LOT3/ENTHOR-38-AER-1.npy,ENTHOR-38-AER-1,ENTHOR,ENTHOR,38,Enterobacter hormaechei steigerwaltii,Enterobacter hormaechei,CLASSE,/home/rrekikdi/Bureau/postdoc/pseudo_image/ms1_processed_11classes/Enterobacter hormaechei/ENTHOR-38-AER-1.npy
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_04_15_Validation_LOT3_COLI_CITFRE_ENTHOR_KLEOXY_SER/LOT3/ENTHOR-38-AER-2.npy,ENTHOR-38-AER-2,ENTHOR,ENTHOR,38,Enterobacter hormaechei steigerwaltii,Enterobacter hormaechei,CLASSE,/home/rrekikdi/Bureau/postdoc/pseudo_image/ms1_processed_11classes/Enterobacter hormaechei/ENTHOR-38-AER-2.npy
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_04_15_Validation_LOT3_COLI_CITFRE_ENTHOR_KLEOXY_SER/LOT3/ENTHOR-38-ANA-1.npy,ENTHOR-38-ANA-1,ENTHOR,ENTHOR,38,Enterobacter hormaechei steigerwaltii,Enterobacter hormaechei,CLASSE,/home/rrekikdi/Bureau/postdoc/pseudo_image/ms1_processed_11classes/Enterobacter hormaechei/ENTHOR-38-ANA-1.npy
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_04_15_Validation_LOT3_COLI_CITFRE_ENTHOR_KLEOXY_SER/LOT3/ENTHOR-38-ANA-2.npy,ENTHOR-38-ANA-2,ENTHOR,ENTHOR,38,Enterobacter hormaechei steigerwaltii,Enterobacter hormaechei,CLASSE,/home/rrekikdi/Bureau/postdoc/pseudo_image/ms1_processed_11classes/Enterobacter hormaechei/ENTHOR-38-ANA-2.npy
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_04_15_Validation_LOT3_COLI_CITFRE_ENTHOR_KLEOXY_SER/LOT3/ESCCOL-237-AER-1.npy,ESCCOL-237-AER-1,ESCCOL,ESCCOL,237,,Escherichia coli,"CLASSE (sample_nb absent du excel, classe par code seul)",/home/rrekikdi/Bureau/postdoc/pseudo_image/ms1_processed_11classes/Escherichia coli/ESCCOL-237-AER-1.npy
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_04_15_Validation_LOT3_COLI_CITFRE_ENTHOR_KLEOXY_SER/LOT3/ESCCOL-237-AER-2.npy,ESCCOL-237-AER-2,ESCCOL,ESCCOL,237,,Escherichia coli,"CLASSE (sample_nb absent du excel, classe par code seul)",/home/rrekikdi/Bureau/postdoc/pseudo_image/ms1_processed_11classes/Escherichia coli/ESCCOL-237-AER-2.npy
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_04_15_Validation_LOT3_COLI_CITFRE_ENTHOR_KLEOXY_SER/LOT3/ESCCOL-237-ANA-1.npy,ESCCOL-237-ANA-1,ESCCOL,ESCCOL,237,,Escherichia coli,"CLASSE (sample_nb absent du excel, classe par code seul)",/home/rrekikdi/Bureau/postdoc/pseudo_image/ms1_processed_11classes/Escherichia coli/ESCCOL-237-ANA-1.npy
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_04_15_Validation_LOT3_COLI_CITFRE_ENTHOR_KLEOXY_SER/LOT3/ESCCOL-237-ANA-2.npy,ESCCOL-237-ANA-2,ESCCOL,ESCCOL,237,,Escherichia coli,"CLASSE (sample_nb absent du excel, classe par code seul)",/home/rrekikdi/Bureau/postdoc/pseudo_image/ms1_processed_11classes/Escherichia coli/ESCCOL-237-ANA-2.npy
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_04_15_Validation_LOT3_COLI_CITFRE_ENTHOR_KLEOXY_SER/LOT3/ESCCOL-68-AER-1.npy,ESCCOL-68-AER-1,ESCCOL,ESCCOL,68,Escherichia coli,Escherichia coli,CLASSE,/home/rrekikdi/Bureau/postdoc/pseudo_image/ms1_processed_11classes/Escherichia coli/ESCCOL-68-AER-1.npy
/home/rrekikdi/Bureau/postdoc/pseudo_image/images_npy_ms1/2022_04_15_Validation_LOT3_COLI_CITFRE_ENTHOR_KLEOXY_SER/LOT3/ESCCOL-68-AER-2.npy,ESCCOL-68-AER-2,ESCCOL,ESCCOL,68,Escherichia coli,Escherichia coli,CLASSE,/home/rrekikdi/Bureau/postdoc/pseudo_image/ms1_processed_11classes/Escherichia coli/ESCCOL-68-AER-2.npy
